,Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Air temperature [F],Process temperature [F],Power consumption [W],Temperature difference [F],Temperature ratio,Failure
0,M,0.22293364377182778,0.5357142857142856,0.0,0,No Failure,0.30434782608695876,0.35802469135802895,0.11942873773490771,-0.053676865271070184,0.8500749625187368,0
1,L,0.13969732246798605,0.5837912087912087,0.011857707509881422,0,No Failure,0.3152173913043459,0.37037037037037024,0.08155406874848085,-0.055152979066024344,0.8510869565217343,0
2,L,0.19208381839348088,0.6263736263736263,0.01976284584980237,0,No Failure,0.30434782608695876,0.34567901234567966,0.12031623789481767,-0.0413311862587209,0.8804347826087005,0
3,L,0.15424912689173464,0.49038461538461536,0.02766798418972332,0,No Failure,0.3152173913043459,0.35802469135802895,0.07564139876421602,-0.04280730005368305,0.8804347826086798,0
4,L,0.13969732246798605,0.4972527472527473,0.035573122529644265,0,No Failure,0.3152173913043459,0.37037037037037024,0.06946487738105901,-0.055152979066024344,0.8510869565217343,0
5,M,0.1495925494761351,0.5233516483516483,0.043478260869565216,0,No Failure,0.30434782608695876,0.35802469135802895,0.0782895073494608,-0.053676865271070184,0.8500749625187368,0
6,L,0.2270081490104774,0.5302197802197801,0.05533596837944664,0,No Failure,0.30434782608695876,0.35802469135802895,0.12036421087643441,-0.053676865271070184,0.8500749625187368,0
7,L,0.20896391152502913,0.5,0.06324110671936758,0,No Failure,0.30434782608695876,0.35802469135802895,0.10448195576251457,-0.053676865271070184,0.8500749625187368,0
8,M,0.29045401629802103,0.34065934065934067,0.07114624505928853,0,No Failure,0.32608695652174013,0.37037037037037024,0.09894587368394124,-0.044283413848630104,0.8804347826086987,0
9,M,0.33352735739231665,0.3324175824175824,0.08300395256916995,0,No Failure,0.3478260869565215,0.40740740740740833,0.11087035781447888,-0.05958132045088682,0.85375494071146,0
10,H,0.35739231664726423,0.2760989010989011,0.09486166007905138,0,No Failure,0.33695652173912727,0.39506172839505904,0.09867562588750016,-0.058105206655931774,0.8529211956521717,0
11,H,0.1484284051222352,0.5563186813186812,0.11462450592885375,0,No Failure,0.35869565217391575,0.41975308641975584,0.08257349460783688,-0.06105743424584009,0.8545396419437349,0
12,M,0.09953434225844005,0.6497252747252747,0.13438735177865613,0,No Failure,0.35869565217391575,0.41975308641975584,0.06466997786846448,-0.06105743424584009,0.8545396419437349,0
13,M,0.3341094295692667,0.3598901098901099,0.14624505928853754,0,No Failure,0.35869565217391575,0.43209876543209713,0.12024267932300532,-0.07340311325818138,0.8301242236024938,0
14,L,0.5046565774155997,0.2170329670329671,0.15810276679841895,0,No Failure,0.35869565217391575,0.43209876543209713,0.10952711432920985,-0.07340311325818138,0.8301242236024938,0
15,L,0.2176949941792783,0.6126373626373626,0.1660079051383399,0,No Failure,0.35869565217391575,0.43209876543209713,0.13336808709334905,-0.07340311325818138,0.8301242236024938,0
16,M,0.08323632130384173,0.5879120879120879,0.17391304347826086,0,No Failure,0.35869565217391575,0.43209876543209713,0.048935639447863,-0.07340311325818138,0.8301242236024938,0
17,M,0.14086146682188594,0.5741758241758241,0.18577075098814227,0,No Failure,0.3695652173913029,0.43209876543209713,0.08087924880707187,-0.06253354804079425,0.8552795031055899,0
18,H,0.08032596041909201,0.6964285714285714,0.1976284584980237,0,No Failure,0.38043478260869623,0.43209876543209713,0.05594129386329622,-0.0516639828234009,0.8804347826087003,0
19,M,0.270081490104773,0.3942307692307692,0.21739130434782608,0,No Failure,0.39130434782608337,0.4444444444444464,0.10647443359899704,-0.05314009661836305,0.8804347826086837,0
20,H,0.12048894062863802,0.5343406593406593,0.2292490118577075,0,No Failure,0.39130434782608337,0.4444444444444464,0.06438213997876399,-0.05314009661836305,0.8804347826086837,0
21,L,0.1641443538998837,0.5631868131868131,0.24901185770750986,0,No Failure,0.38043478260869623,0.4444444444444464,0.09244393557548393,-0.06400966183575019,0.8559782608695627,0
22,M,0.24039580908032598,0.3695054945054945,0.2569169960474308,0,No Failure,0.39130434782608337,0.4444444444444464,0.0888275723112743,-0.05314009661836305,0.8804347826086837,0
23,L,0.3434225844004658,0.3008241758241758,0.26877470355731226,0,No Failure,0.4021739130434785,0.4567901234567877,0.10330981591167858,-0.05461621041330922,0.8804347826087008,0
24,M,0.22875436554132722,0.46016483516483514,0.27667984189723316,0,No Failure,0.4021739130434785,0.4567901234567877,0.10526471491256129,-0.05461621041330922,0.8804347826087008,0
25,L,0.4033760186263097,0.2678571428571429,0.2885375494071146,0,No Failure,0.4021739130434785,0.4691358024691361,0.10804714784633297,-0.06696188942565762,0.8572654462242563,0
26,L,0.20023282887077998,0.4835164835164835,0.2964426877470355,0,No Failure,0.41304347826087184,0.4691358024691361,0.09681587330015735,-0.056092324208264266,0.8804347826086999,0
27,H,0.3742724097788127,0.28571428571428575,0.3043478260869565,0,No Failure,0.41304347826087184,0.4567901234567877,0.10693497422251794,-0.04374664519591587,0.9042303172738053,0
28,L,0.1577415599534343,0.554945054945055,0.32411067193675885,0,No Failure,0.41304347826087184,0.4567901234567877,0.08753789865547729,-0.04374664519591587,0.9042303172738053,0
29,L,0.30558789289871946,0.3612637362637363,0.3320158102766798,0,No Failure,0.4021739130434785,0.4567901234567877,0.11039782394555389,-0.05461621041330922,0.8804347826087008,0
30,M,0.09953434225844005,0.6098901098901098,0.33992094861660077,0,No Failure,0.41304347826087184,0.4691358024691361,0.0607050109378398,-0.056092324208264266,0.8804347826086999,0
31,L,0.36670547147846333,0.2980769230769231,0.3517786561264822,0,No Failure,0.4021739130434785,0.4567901234567877,0.10930643861377272,-0.05461621041330922,0.8804347826087008,0
32,L,0.14610011641443543,0.6112637362637362,0.35968379446640314,0,No Failure,0.4021739130434785,0.4567901234567877,0.08930570302805461,-0.05461621041330922,0.8804347826087008,0
33,L,0.28928987194412115,0.3942307692307692,0.3675889328063241,0,No Failure,0.39130434782608337,0.4444444444444464,0.1140469687472016,-0.05314009661836305,0.8804347826086837,0
34,M,0.22759022118742733,0.4244505494505495,0.37549407114624506,0,No Failure,0.38043478260869623,0.41975308641975584,0.09660079443257562,-0.03931830381105961,0.9063299232736527,0
35,M,0.16530849825378346,0.6153846153846153,0.38735177865612647,0,No Failure,0.38043478260869623,0.43209876543209713,0.10172830661771289,-0.0516639828234009,0.8804347826087003,0
36,M,0.24039580908032598,0.4519230769230769,0.3992094861660079,0,No Failure,0.39130434782608337,0.43209876543209713,0.10864041371899348,-0.040794417606013766,0.9055900621117964,0
37,L,0.1577415599534343,0.48626373626373637,0.4110671936758893,0,No Failure,0.38043478260869623,0.41975308641975584,0.07670400030702713,-0.03931830381105961,0.9063299232736527,0
38,H,0.1228172293364378,0.6442307692307693,0.41897233201581024,0,No Failure,0.39130434782608337,0.43209876543209713,0.07912263813020512,-0.040794417606013766,0.9055900621117964,0
39,L,0.10593713620488943,0.6689560439560439,0.4387351778656126,0,No Failure,0.38043478260869623,0.41975308641975584,0.07086728754365543,-0.03931830381105961,0.9063299232736527,0
40,L,0.11292200232828875,0.5714285714285714,0.44664031620553357,0,No Failure,0.38043478260869623,0.41975308641975584,0.06452685847330786,-0.03931830381105961,0.9063299232736527,0
41,L,0.11641443538998841,0.6456043956043955,0.45454545454545453,0,No Failure,0.38043478260869623,0.41975308641975584,0.07515767119958042,-0.03931830381105961,0.9063299232736527,0
